"FIRM","PRICE","ACCOUNT SIZE","PROFIT SPLIT","PROFIT TARGET","MAX. DAILY LOSS","MAX. TOTAL DRAWDOWN","COMMISION PER ROUND LOT (FOREX)","PROFIT TARGET TO DRAWDOWN RATIO","PAYOUT FREQUENCY","TRUST PILOT RATING","YEAR STABLISHED AND COUNTRY","LOYALTY POINTS","Name","Original Price","Discount Price","Account Size","Profit Split","Phase 1 Profit Target","Phase 2 Profit Target","Max Daily Loss","Max Total Drawdown","Daily Drawdown Reset Type","Drawdown Method","Minimun Trading Days","Maximun Trading Days","Stop-loss Required","Profit Target to Drawdown Ratio","Comissions (Forex)","Leverage","Refund Fee","Scaling","Expert Advisors (EAS) Allowed","Copy Trading","News Trading","Weekend Holding","Auto-close at Target","Drawdown Blocker","Payout Frequency","Max Allocation (without scaling)","Swap Free Accounts","Technology","Broker","Trading Platforms","Trust Pilot Rating","Established","Country","Loyalty Points"
"Goat Funded Trader","$120.00 $60.00 ","10K 2 steps","40%(payout on demand) or 80% (30days)","1: 10% 2: 6%","4%","12%","$7/round lot","1: 0.75","30 Days or Triple payday or Payout on Demand","4.1","May 2023 Spain","99","Goat Funded Trader - Swing - 2-Steps 10K","$120.00","$60.00","10K","40%(payout on demand) or 80% (30days)","10%","6%","4%","12%","Balance / Equity - Highest at EOD","Static","None","Unlimited","No","1: 0.75","$7/round lot","Up to 50:1","0%","Yes","Yes","Drawdown Blocker","Allowed: Swing accounts. Not allowed: No Time Limit, GOAT, and Instant accounts within 5 minutes before or after high-impact news","Yes","No","No","30 Days or Triple payday or Payout on Demand","800K (50k for Pakistan traders)","Yes","In-House","Liquidity Providers","Match Trader, TradeLocker","4.1","May 1, 2023","Spain","99"
"Instant Funding","$120.00 $102.00 ","25K 3 steps","80%","1: 8% 2: 5% 3: 5%","5%","10%","$7/round lot","1: 0.56","First 14 days, then 7 days","4.6","June 2022 United Kingdom","168","Instant Funding - Static - Three-Phase - 3-Step 25K","$120.00","$102.00","25K","80%","8%","5%","5%","10%","Balance / Equity - Highest at EOD","Static","3 Days","Unlimited","No","1: 0.56","$7/round lot","Up to 100:1","No","Yes","Yes","Yes","Allowed: Evaluation and Swing accounts. Not allowed: Funded accounts within 5 minutes before or after high-impact news.","No","Yes","No","First 14 days, then 7 days","200K","No","In-House"," ","cTrader, MT5, (DXTrade for US traders)","4.6","June 1, 2022","United Kingdom","168"
"FXIFY","$149.00 $119.20 ","25K 3 steps","75%","1: 5% 2: 5% 3: 5%","5%","5%","$0","1: 0.33","First payout on-demand, 30 days then after","4.3","April 2023 United Kingdom","279","FXIFY - 3-Phase - 3-Steps 25K","$149.00","$119.20","25K","75%","5%","5%","5%","5%","Balance-based","Static","5 Days","Unlimited","No","1: 0.33","$0","Up to 30:1","100%","Yes","Yes","Payout Frequency","Yes","Yes","No","No","First payout on-demand, 30 days then after","800K","No","White-Label","FXPIG","MT4, MT5, (DXtrade for US traders)","4.3","April 1, 2023","United Kingdom","279"
"AquaFunded","$77.00 $53.90 ","10K 3 steps","90% or 95%","1: 6% 2: 6% 3: 6%","4%","8%","$5","1: 0.44","14 Days or 7 Days","4.4","December 2023 United Arab Emirates","86","AquaFunded - Fish Challenge - 3-Step Challenge - 3-Steps 10K","$77.00","$53.90","10K","90% or 95%","6%","6%","4%","8%","Equity-based","Static","0","Unlimited","No","1: 0.44","$5","Up to 100:1","100%","Yes","Yes","Every 14 days for any amount over $100","Yes","Yes","No","No","14 Days or 7 Days","400k","No","White-Label","Triskel Capital","MT5, (TradeLocker, Match Trader for US Traders)","4.4","December 1, 2023","United Arab Emirates","86"
"AquaFunded","$517.00 $361.90 ","100K 2 steps","90% or 95%","1: 8% 2: 5%","5%","8%","$5","1: 0.62","14 Days or 7 Days","4.4","December 2023 United Arab Emirates","636","AquaFunded - Shark Challenge - 2-Step Challenge - 2-Steps 100K","$517.00","$361.90","100K","90% or 95%","8%","5%","5%","8%","Equity-based","Static","3 Days","Unlimited","No","1: 0.62","$5","Up to 100:1","100%","Yes","Yes","Swap Free Accounts","Yes","Yes","No","No","14 Days or 7 Days","400k","No","White-Label","Triskel Capital","MT5, (TradeLocker, Match Trader for US Traders)","4.4","December 1, 2023","United Arab Emirates","636"
"My Funded FX","$210.00 $183.75 ","50K 2 steps","80%","1: 10% 2: 5%","Phase 1: 5%, Phase 2 and Funded: 4%","Phase 1: 10%, Phase 2 and Funded: 8%","$3/round lot (MatchTrade, DXTrade)","1: 0.53","14 Days","4.2","June 2022 United States","303","My Funded FX - 2-Step Max - 2-Step 50K","$210.00","$183.75","50K","80%","10%","5%","Phase 1: 5%, Phase 2 and Funded: 4%","Phase 1: 10%, Phase 2 and Funded: 8%","Balance-based","Static","3 days of .5% profit per day","Unlimited","No","1: 0.53","$3/round lot (MatchTrade, DXTrade)","Up to 1:30","0%","No","Yes","Yes","Allowed with restriction: 3 minutes before and after a red folder news","Yes","No","No","14 Days","400K","No","White-Label","Zenifex, Purple Trading SC, Match-Prime, Quality FX ltd","cTrader, (Match Trader, DXtrade for US traders)","4.2","June 1, 2022","United States","303"
"FXIFY","$79.00 $63.20 ","15K 3 steps","75%","1: 5% 2: 5% 3: 5%","5%","5%","$0","1: 0.33","First payout on-demand, 30 days then after","4.3","April 2023 United Kingdom","148","FXIFY - 3-Phase - 3-Steps 15K","$79.00","$63.20","15K","75%","5%","5%","5%","5%","Balance-based","Static","5 Days","Unlimited","No","1: 0.33","$0","Up to 30:1","100%","Yes","Yes","Technology","Yes","Yes","No","No","First payout on-demand, 30 days then after","800K","No","White-Label","FXPIG","MT4, MT5, (DXtrade for US traders)","4.3","April 1, 2023","United Kingdom","148"
"Audacity Capital","$779.00 $545.30 ","120K 2 steps","75%","1: 10% 2: 5%","Phase 1: 7.5%, Phase 2: 5% and Funded: 5%","Phase 1: 15%, Phase 2: 10% and Funded: 10%","$5/round lot","1: 0.83","First 30 days, then 14 Days","4.6","March 2012 United Kingdom","364","Audacity Capital - Ability Challenge - 2-Step 120K","$779.00","$545.30","120K","75%","10%","5%","Phase 1: 7.5%, Phase 2: 5% and Funded: 5%","Phase 1: 15%, Phase 2: 10% and Funded: 10%","Equity-based","Static","4 Days","Unlimited","No","1: 0.83","$5/round lot","Up to 100:1","*Yes, 100% but only on the Ability Challenge","Yes","Yes","In-House","Allowed: Ability Challenge. Not allowed: Funded Trader Program.","Yes","No","No","First 30 days, then 14 Days","2M","Yes","In-House","Institutional Liquidity Providers","MT4, MT5","4.6","March 1, 2012","United Kingdom","364"
"FundedNext","$65.00 $61.75 ","6K 1 step","90% + 15% from challenge phase","1: 10%","3%","6%","$3/round lot","1: 0.6","5 Days, then 5 business days","4.5","March 2022 United Arab Emirates","37","FundedNext - Stellar Challenge - 1-Step 6K","$65.00","$61.75","6K","90% + 15% from challenge phase","10%"," ","3%","6%","Balance-based","Static","2 Days","Unlimited","No","1: 0.6","$3/round lot","Up to 30:1","100%","Yes","Yes","Broker","Allowed: Stellar, Stellar Lite, and Evaluation accounts. Not allowed: Express accounts within 5 minutes before or after high-impact news.","Yes","No","No","5 Days, then 5 business days","300K (50K for Pakistan, Combodia, Slovakia, Slovenia, Mongolia, Taiwan, Ukraine, Czech Republic)","Yes","In-House","FundedNext Ltd","MT4, MT5, cTrader","4.5","March 1, 2022","United Arab Emirates","37"
"OANDA Prop Trader","$299.00 $254.15 ","50K 2 steps","80%","1: 8% (5% Max Daily Profit) 2: 5% (2% Max Daily Profit)","5%","10%","$0","1: 0.77","Minimum of 14 days","4.1","January 2024 Malta","280","OANDA Prop Trader - Silver - 2-Steps 50K","$299.00","$254.15","50K","80%","8% (5% Max Daily Profit)","5% (2% Max Daily Profit)","5%","10%","Equity-based","Trailing","None","Unlimited","No","1: 0.77","$0","Up to 100:1","Yes, 100% upon first payout","No","Yes","FXFlat, GBE Brokers","Allowed with restriction: 3 minutes prior or after to high-impact news","Yes","Yes","No","Minimum of 14 days","500K","No","In-House","OANDA Global Markets","MT5","4.1","January 20, 2024","Malta","280"
"TradeDay","$99.00 $79.20 ","10K 1 step","90%","1: $1,000","None","$500","Visit Website FAQ","1: 0.5","1 Day - no resitrictions","4.6","January 2020 United States","131","TradeDay - 10K Tier - 1-Step - 10K","$99.00","$79.20","10K","90%","$1,000"," ","None","$500","No daily drawdown","Trailing","7 Days","Unlimited","No","1: 0.5","Visit Website FAQ","Up to 1 mini (10 micros)","No","Yes","No","Trading Platform(s)","Allowed with restriction: 2 minutes prior or after to high-impact news","No","No","No","1 Day - no resitrictions","1 account","No"," ","CME, CBOT, NYMEX, and COMEX","Tradovate, NinjaTrader, TradingView, Jigsaw","4.6","January 1, 2020","United States","131"
"FTMO"," ","50K 2 steps","80%","1: 10% 2: 5%","5%","10%","$3/round lot","1: 0.67","14 Days","4.8","January 2015 Czech Republic","110","FTMO - Swing Challenge - 2-Steps 50K","€345.00"," ","50K","80%","10%","5%","5%","10%","Balance-based (initial account balance)","Static","4 Days","Unlimited","No","1: 0.67","$3/round lot","Up to 30:1","100%","Yes","Yes","MT5, MT4 for CFD- Not available for US traders, ATAS, Quantower, R/Trader, Volsys for Futures- (available for US traders)","Allowed: Swing accounts. Not allowed: Funded accounts within 2 minutes before or after high-impact news. (Permitted during Evaluation)","Yes","No","No","14 Days","400K","Yes","In-House","Institutional Liquidity Providers","MT4, MT5, cTrader, DXtrade","4.8","January 1, 2015","Czech Republic","110"
"For Traders","$299.00 $251.16 ","50K 2 steps","80% + 15% from challenge phase","1: 8% 2: 5%","5%","10%","$5/round lot","1: 0.69","14 Days","4.2","July 2023 United Arab Emirates","414","For Traders - 2-Step Challenge - 2-Steps 50K","$299.00"," ","50K","80% + 15% from challenge phase","8%","5%","5%","10%","Balance-based","Static","3 Days","Unlimited","No","1: 0.69","$5/round lot","Up to 125:1","100%","Yes","No","Buyers Rating","Allowed: Evaluation accounts and Pro accounts. Not allowed: Funded accounts within 5 minutes before or after high-impact news.","Yes","No","No","14 Days","300K","No","White-Label","Capital Markets","cTrader, TradeLocker, (DXTrade for US traders)","4.2","July 1, 2023","United Arab Emirates","414"
"For Traders","$549.00 $461.16 ","100K 2 steps","80% + 15% from challenge phase","1: 8% 2: 5%","5%","10%","$5/round lot","1: 0.69","14 Days","4.2","July 2023 United Arab Emirates","761","For Traders - 2-Step Challenge - 2-Steps 100K","$549.00"," ","100K","80% + 15% from challenge phase","8%","5%","5%","10%","Balance-based","Static","3 Days","Unlimited","No","1: 0.69","$5/round lot","Up to 125:1","100%","Yes","No","*Yes, only as master.","Allowed: Evaluation accounts and Pro accounts. Not allowed: Funded accounts within 5 minutes before or after high-impact news.","Yes","No","No","14 Days","300K","No","White-Label","Capital Markets","cTrader, TradeLocker, (DXTrade for US traders)","4.2","July 1, 2023","United Arab Emirates","761"
"FTMO"," ","25K 2 steps","80%","1: 10% 2: 5%","5%","10%","$3/round lot","1: 0.67","14 Days","4.8","January 2015 Czech Republic","80","FTMO - Swing Challenge - 2-Steps 25K","€250.00"," ","25K","80%","10%","5%","5%","10%","Balance-based (initial account balance)","Static","4 Days","Unlimited","No","1: 0.67","$3/round lot","Up to 30:1","100%","Yes","Yes","News Trading","Allowed: Swing accounts. Not allowed: Funded accounts within 2 minutes before or after high-impact news. (Permitted during Evaluation)","Yes","No","No","14 Days","400K","Yes","In-House","Institutional Liquidity Providers","MT4, MT5, cTrader, DXtrade","4.8","January 1, 2015","Czech Republic","80"
"Blueberry Funded","$50.00 $42.50 ","10K 1 step","80%","1: 5%","3%","4%","$7/round lot","1: 0.8","14 Days","3.8","August 2024 Saint Vincent and the Grenadines","70","Blueberry Funded - Rapid Challenge - 1-Step - 10K","$50.00","$42.50","10K","80%","5%"," ","3%","4%","Equity EOD","Trailing","3 Days on funded (0.5% of profit to be made)","Unlimited","No, see faqs for more information","1: 0.8","$7/round lot","Up to 1:30","*Yes, on rapid accounts","Yes","Yes","Allowed: Evaluation accounts and Pro accounts. Not allowed: Funded accounts within 5 minutes before or after high-impact news.","No","Yes","Yes","No","14 Days","400K","No","In-House","Blueberry Markets","MT4, MT5, DXTrade","3.8","August 7, 2024","Saint Vincent and the Grenadines","70"
"Blue Guardian","$297.00 $221.27 ","50K 2 steps","85%","1: 8% 2: 4%","4%","8%","$5/round lot (Match Trade)","1: 0.67","14 Days","4.1","June 2021 United Arab Emirates","343","Blue Guardian - Unlimited Guardian - 2-Steps 50K","$297.00","$221.27","50K","85%","8%","4%","4%","8%","Balance / Equity - Highest at EOD","Static","3 Days with 0.5% profit each day","Unlimited","No","1: 0.67","$5/round lot (Match Trade)","Up to 100:1 (evaluation leverage)","100% on your 4th payout","Yes","Yes","Weekend Holding","Allowed: Evaluation accounts. Not allowed: Funded accounts within 2.5 minutes before or after high-impact news.","Yes","No","Yes","14 Days","800K (50K for Pakistan traders)","No","White-Label","*","MT5, (TradeLocker, Match Trader for US traders)","4.1","June 1, 2021","United Arab Emirates","343"
"Finotive Funding","$74.00 $55.50 ","5K 1 step","75%","1: 10%","4%","7.50%","$4/round lot","1: 0.75","Payout on demand, then every 7 Days","3.8","April 2021 Cyprus","51","Finotive Funding - 1 Phase Challenge - 1-Step 5K","$74.00","$55.50","5K","75%","10%"," ","4%","7.50%","Balance-based","Static","None","Unlimited","Yes (Instant accounts only)","1: 0.75","$4/round lot","Up to 100:1","Yes, for Challenge & Pro accounts only (on your 30th day of achieving funded status)","Yes","Yes","Yes","Yes, News Straddling is Prohibited","Yes","No","No","Payout on demand, then every 7 Days","1.4M","Yes","In-House","Finotive Markets LLC","MT5","3.8","April 23, 2021","Hungary","51"
"Ascendx Capital","$372.00 $186.00 ","50K 2 steps","90%","1: 7% 2: 5%","4%","10%","$4/round lot","1: 0.83","14 Days","3.7","October 2023 United Kingdom","292","Ascendx Capital - 2-Phase Evaluation - 2-Step 50K","$372.00","$186.00","50K","90%","7%","5%","4%","10%","Balance-based","Static","3 Days","Unlimited","No","1: 0.83","$4/round lot","Up to 100:1","100%","Yes","Yes","Auto-close at Target","Allowed: Evaluation accounts. Not allowed: Funded accounts within 5 minutes before or after high-impact news.","Yes","No","No","14 Days","400K (per platform)","No","White-Label","Purple Trading Seychelles","cTrader, (DXTrade for US traders)","3.7","October 1, 2023","United Kingdom","292"
"Lark Funding","$175.00 $157.50 ","25K 3 steps","80%","1: 5% 2: 4% 3: 3%","None","5%","$7/round lot","1: 0.42","First 14 days, then 7 days","4.3","June 2022 Canada","231","Lark Funding - 3-Stage Evaluation - 3-Steps 25K","$175.00","$157.50","25K","80%","5%","4%","None","5%","Balance-based","Static","None","Unlimited","No","1: 0.42","$7/round lot","Up to 15:1","No","No","Yes","Yes","Yes","No","Yes","No","First 14 days, then 7 days","600K","Yes","White-Label","ThinkMarkets","cTrader, (DXtrader for US traders)","4.3","June 1, 2022","Canada","231"
"Funded Trading Plus","$247.00 $197.60 ","25K 2 steps","80%","1: 8% 2: 5%","4%","8%","$7/round lot","1: 0.62","Payout on demand, then every 7 Days","4.7","November 2021 United Kingdom","204","Funded Trading Plus - Two-Phase Premium - 2-Steps 25K","$247.00","$197.60","25K","80%","8%","5%","4%","8%","Balance-based","Relative Trailing","None","Unlimited","No","1: 0.62","$7/round lot","Up to 30:1","*Yes, 100% on every plan but in the Instant plan the fee is refund when you reach 10% profit on the funded stage","Yes","Yes","Drawdown Blocker","Yes","Yes","No","No","Payout on demand, then every 7 Days","400K","No","White-Label","GooeyTrade, Match Trade, Intertrader","MT4, MT5, cTrader, (DXTrade, Match Trader for US traders)","4.7","November 1, 2021","United Kingdom","204"
"Lark Funding","$125.00 $112.50 ","10K 2 steps","80%","1: 8% 2: 5%","5%","10%","$7/round lot","1: 0.77","First 30 days, then 14 days","4.3","June 2022 Canada","165","Lark Funding - 2-Stage Evaluation - 2-Steps 10K","$125.00","$112.50","10K","80%","8%","5%","5%","10%","Balance-based","Static","None","Unlimited","No","1: 0.77","$7/round lot","Up to 25:1","No","No","Yes","Yes","Yes","No","Yes","No","First 30 days, then 14 days","600K","Yes","White-Label","ThinkMarkets","cTrader, (DXtrader for US traders)","4.3","June 1, 2022","Canada","165"
"My Funded FX","$100.00 $87.50 ","10K 1 step","80%","1: 10%","4%","6%","$3/round lot (MatchTrade, DXTrade)","1: 0.6","14 Days","4.2","June 2022 United States","144","My Funded FX - 1-Step - 1-Step 10K","$100.00","$87.50","10K","80%","10%"," ","4%","6%","Balance-based","Trailing","3 days of .5% profit per day","Unlimited","No","1: 0.6","$3/round lot (MatchTrade, DXTrade)","Up to 1:30","0%","Yes","Yes","Payout Frequency","Allowed with restriction: 3 minutes before and after a red folder news","Yes","No","No","14 Days","400K","No","White-Label","Zenifex, Purple Trading SC, Match-Prime, Quality FX ltd","cTrader, (Match Trader, DXtrade for US traders)","4.2","June 1, 2022","United States","144"
"E8 Markets","$358.00 $286.40 ","100K 3 steps","80%","1: 8% 2: 4% 3: 4%","4%","8%","$0 standard, $5/round lot of raw spreads","1: 0.5","Payout on demand or 8 Days (First Payout then 14 Days Subsequent Payouts","4.6","November 2021 United States","158","E8 Markets - E8 Track - 3-Steps 100K","$358.00","$286.40","100K","80%","8%","4%","4%","8%","Balance-based","Static","1Day","Unlimited","No","1: 0.5","$0 standard, $5/round lot of raw spreads","Up to 50:1","No","Yes","Yes","14 Days","Allowed: Evaluation accounts. Not allowed: Funded accounts within 5 minutes before or after high-impact news.","Yes","No","No","Payout on demand or 8 Days (First Payout then 14 Days Subsequent Payouts","400K","No","In-House","Virtual Markets","MT5(E8 Pro, E8 account, E8 Track) , Match Trader (US clients - Match Trader)","4.6","November 1, 2021","United States","158"
"Ment Funding","$250.00 $227.50 ","25K 1 step","75%","1: 10%","5%","6%","$6/round lot","1: 0.6","First at anytime, then every 30 days","4.8","October 2021 United States","207","Ment Funding - Evaluation - 1-Step 25K","$250.00","$227.50","25K","75%","10%"," ","5%","6%","Balance-based","Static","None","Unlimited","Yes","1: 0.6","$6/round lot","Up to 20:1","No","Yes","Yes","Swap Free Accounts","Allowed with restriction: 3 minutes before and after a red folder news","No","No","No","First at anytime, then every 30 days","2M","No","White-Label","ThinkMarkets, Match Trade","cTrader, MT4, MT5, (Match Trader, DXtrade for US traders)","4.8","October 1, 2021","United States","207"
"AquaFunded","$527.00 $368.90 ","100K 1 step","90% or 95%","1: 9%","3%","6%","$5","1: 0.67","14 Days or 7 Days","4.4","December 2023 United Arab Emirates","636","AquaFunded - Shark Challenge - 1-Step Challenge - 1-Step 100K","$527.00","$368.90","100K","90% or 95%","9%"," ","3%","6%","Equity-based","Trailing","3 Days","Unlimited","No","1: 0.67","$5","Up to 100:1","100%","Yes","Yes","Yes","Yes","Yes","No","No","14 Days or 7 Days","400k","No","White-Label","Triskel Capital","MT5, (TradeLocker, Match Trader for US Traders)","4.4","December 1, 2023","United Arab Emirates","636"
